campaign_name,impressions,spend,date_start,date_stop,account_id
C3869629_therecreationalwarehouse_Zipcode,70063,464.16,2024-10-01,2024-10-31,10154725495867831
C3869630_therecreationalwarehouse_Zipcode,86053,199.43,2024-10-01,2024-10-31,10154725495867831
C3869628_therecreationalwarehouse_Zipcode,4412,190.44,2024-10-01,2024-10-31,10154725495867831
C3869627_therecreationalwarehouse_Zipcode,83978,464.22,2024-10-01,2024-10-31,10154725495867831
